PDRB Atas Dasar Harga Konstan (Milyar Rupiah) dan Pertumbuhan Ekonomi (Persen) Kabupaten/Kota di Jawa Tengah,,,
No,Kabupaten/Kota,PDRB ADHK,Pertumbuhan Ekonomi
1,Kabupaten Cilacap,"90.011,58","-10,28"
2,Kabupaten Banyumas,"39.121,62","-1,65"
3,Kabupaten Purbalingga,"17.182,87","-1,18"
4,Kabupaten Banjarnegara,"15.045,88","-1,32"
5,Kabupaten Kebumen,"19.527,66","-1,45"
6,Kabupaten Purworejo,"13.138,29","-1,61"
7,Kabupaten Wonosobo,"13.566,18","-1,64"
8,Kabupaten Magelang,"22.865,15","-1,67"
9,Kabupaten Boyolali,"22.409,73","-1,20"
10,Kabupaten Klaten,"27.480,36","-1,17"
11,Kabupaten Sukoharjo,"26.616,50","-1,70"
12,Kabupaten Wonogiri,"20.563,14","-1,41"
13,Kabupaten Karanganyar,"26.103,23","-1,87"
14,Kabupaten Sragen,"26.367,26","-1,81"
15,Kabupaten Grobogan,"19.383,03","-1,57"
16,Kabupaten Blora,"17.483,89","-4,56"
17,Kabupaten Rembang,"13.409,63","-1,49"
18,Kabupaten Pati,"30.527,47","-1,16"
19,Kabupaten Kudus,"70.964,73","-3,11"
20,Kabupaten Jepara,"20.973,09","-1,92"
21,Kabupaten Demak,"18.374,56","-0,23"
22,Kabupaten Semarang,"34.688,04","-2,67"
23,Kabupaten Temanggung,"14.890,76","-2,13"
24,Kabupaten Kendal,"30.449,02","-1,51"
25,Kabupaten Batang,"15.031,08","-1,29"
26,Kabupaten Pekalongan,"16.047,51","-1,89"
27,Kabupaten Pemalang,"18.155,60","-0,61"
28,Kabupaten Tegal,"24.492,62","-1,48"
29,Kabupaten Brebes,"32.693,08","-0,47"
30,Kota Magelang,"6.312,05","-2,45"
31,Kota Surakarta,"34.815,97","-1,76"
32,Kota Salatiga,"9.503,71","-1,68"
33,Kota Semarang,"137.601,98","-1,85"
34,Kota Pekalongan,"7.337,83","-1,87"
35,Kota Tegal,"10.949,12","-2,29"
Provinsi Jawa Tengah,,"964.084,22","-2,63"
