"Jumlah Sekolah, Guru, dan Murid di Sekolah Negeri dan Swasta Menurut Tahun Ajaran 2023/2024 di Kota Semarang",,,,,,,
Jenjang Pendidikan,Sekolah,Guru,Murid,,,,
TK,683,2.515,34.757,,,Rasio Sekolah -Murid,Rasio Guru -Murid
RA,141,654,10.425,,TK/RA,"54,83","14,26"
SD,509,7.076,125.975,,SD/MI,"241,68","17,68"
MI,94,1.166,19.756,,SMP/MTS,"299,76","15,82"
SMP,194,3.757,63.248,,SMA/SMK/MA,"396,56","15,30"
MTs,48,827,9.293,,,,
SMA,70,1.874,30.935,,,,
SMK,83,2.298,36.517,,,,
MA,34,676,6.705,,,,
,,,,,,,
Sumber : ,,,,,,,
"1. Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi, Sistem Data Pokok Pendidikan, data semester ganjil",,,,,,,
"2. Kementerian Agama, EMIS, data semester ganjil",,,,,,,
