"Jumlah Sekolah, Guru, dan Murid di Sekolah Negeri dan Swasta Menurut Tahun Ajaran 2021/2022 di Kota Semarang",,,,,,,
Jenjang Pendidikan,Sekolah,Guru,Murid,,,,
TK,668,2.272,28.986,,,Rasio Sekolah -Murid,Rasio Guru -Murid
RA,137,693,8.774,,TK/RA,"46,91","12,74"
SD,506,7.140,131.398,,SD/MI,"251,84","18,10"
MI,92,1.180,19.205,,SMP/MTS,"316,15","15,86"
SMP,191,3.802,63.809,,SMA/SMK/MA,"391,47","14,75"
MTs,41,823,9.538,,,,
SMA,74,1.889,30.402,,,,
SMK,86,2.464,38.239,,,,
MA,32,742,6.521,,,,
,,,,,,,
Sumber : ,,,,,,,
"1. Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi, Sistem Data Pokok Pendidikan, data semester ganjil",,,,,,,
"2. Kementerian Agama, EMIS, data semester ganjil",,,,,,,
