"Jumlah Sekolah, Guru, dan Murid di Sekolah Negeri dan Swasta Menurut Tahun Ajaran 2024/2025 di Kota Semarang",,,,,,,
Jenjang Pendidikan,Sekolah,Guru,Murid,,,,
TK,692,2.561,34.315,,,Rasio Sekolah -Murid,Rasio Guru -Murid
RA,NA,NA,NA,,TK/RA,"49,59","13,40"
SD,510,7.083,125.715,,SD/MI,"246,50","17,75"
MI,NA,NA,NA,,SMP/MTS,"330,78","16,56"
SMP,193,3.854,63.841,,SMA/SMK/MA,"436,40","16,66"
MTs,NA,NA,NA,,,,
SMA,72,1.841,31.289,,,,
SMK,83,2.220,36.353,,,,
MA,NA,NA,NA,,,,
,,,291.513,,,,
Sumber : ,,,,,,,
"1. Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi, Sistem Data Pokok Pendidikan, data semester ganjil",,,,,,,
"2. Kementerian Agama, EMIS, data semester ganjil",,,,,,,
