Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2009,2009
Mijen,25698,25337
Gunung Pati,34418,34130
Banyumanik,60667,62264
Gajah Mungkur,31199,30953
Semarang Selatan,42773,42812
Candisari,39913,40589
Tembalang,65786,64512
Pedurungan,82718,83511
Genuk,41551,41555
Gayamsari,36804,37074
Semarang Timur,39894,41407
Semarang Utara,61670,65689
Semarang Tengah,36039,37525
Semarang Barat,79382,80735
Tugu,13680,13918
Ngaliyan,56323,56398
Kota Semarang,748515,758409
