Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2007,2007
Mijen,23875,23279
Gunung Pati,31492,31700
Banyumanik,56891,57740
Gajah Mungkur,30692,30455
Semarang Selatan,42904,42721
Candisari,39920,40641
Tembalang,61802,60498
Pedurungan,79803,80761
Genuk,38471,38725
Gayamsari,34403,35210
Semarang Timur,40293,42024
Semarang Utara,60898,64902
Semarang Tengah,36284,38365
Semarang Barat,78706,79860
Tugu,13174,13280
Ngaliyan,52418,52407
Kota Semarang,722026,732568
