Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2012,2012
Mijen,28479,28091
Gunung Pati,37534,37493
Banyumanik,63671,64554
Gajah Mungkur,31760,31670
Semarang Selatan,41357,41574
Candisari,39649,40253
Tembalang,72234,70707
Pedurungan,86884,88886
Genuk,45928,45599
Gayamsari,37099,36485
Semarang Timur,38842,40047
Semarang Utara,62339,65582
Semarang Tengah,35023,36651
Semarang Barat,79214,79767
Tugu,15393,15511
Ngaliyan,60387,60535
Kota Semarang,775793,783405
