Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2002,2002
Mijen,19516,19327
Gunung Pati,28979,29151
Banyumanik,53763,52803
Gajah Mungkur,29224,29178
Semarang Selatan,42112,41969
Candisari,39079,39220
Tembalang,53081,53002
Pedurungan,70205,71432
Genuk,32422,31474
Gayamsari,31678,32420
Semarang Timur,41025,42804
Semarang Utara,59383,63470
Semarang Tengah,37069,39145
Semarang Barat,74238,74471
Tugu,12203,12197
Ngaliyan,46300,46248
Kota Semarang,670277,678311
