Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2016,2016
Mijen,34991,34798
Gunung Pati,54366,55079
Banyumanik,76263,79731
Gajah Mungkur,29852,30108
Semarang Selatan,33086,36598
Candisari,37157,38789
Tembalang,96198,98033
Pedurungan,100946,102920
Genuk,55506,55280
Gayamsari,39335,40059
Semarang Timur,34544,40317
Semarang Utara,57475,60683
Semarang Tengah,27912,32463
Semarang Barat,78420,82634
Tugu,15999,16042
Ngaliyan,75980,77864
Kota Semarang,848030,881398
