Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2015,2015
Mijen,30942,30463
Gunung Pati,39403,39238
Banyumanik,65158,67350
Gajah Mungkur,31909,31798
Semarang Selatan,39323,40297
Candisari,39333,39925
Tembalang,79440,77428
Pedurungan,89005,91277
Genuk,49086,48459
Gayamsari,37463,36715
Semarang Timur,38072,39259
Semarang Utara,62041,65711
Semarang Tengah,34333,35846
Semarang Barat,78650,79481
Tugu,15942,16012
Ngaliyan,62786,63042
Kota Semarang,792886,802301
