Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2001,2001
Mijen,19129,18798
Gunung Pati,28690,28795
Banyumanik,52829,51706
Gajah Mungkur,28737,28742
Semarang Selatan,39057,38938
Candisari,38808,38879
Tembalang,52049,51287
Pedurungan,68336,69390
Genuk,31461,31527
Gayamsari,31176,31953
Semarang Timur,39927,41581
Semarang Utara,59330,63328
Semarang Tengah,37232,39363
Semarang Barat,73219,73376
Tugu,12109,12036
Ngaliyan,44559,44643
Kota Semarang,656648,664342
