Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2020,2020
Mijen,40520,40386
Gunung Pati,49023,49000
Banyumanik,70074,72002
Gajah Mungkur,27592,28640
Semarang Selatan,30168,31862
Candisari,37232,38224
Tembalang,94453,95227
Pedurungan,95791,97360
Genuk,61884,61426
Gayamsari,34912,35349
Semarang Timur,32181,34121
Semarang Utara,58051,59554
Semarang Tengah,26373,28691
Semarang Barat,73130,75749
Tugu,16457,16365
Ngaliyan,70600,71127
Kota Semarang,818441,835083
