Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2024,2024
Mijen,46420,46668
Gunung Pati,50735,50842
Banyumanik,70861,72885
Gajah Mungkur,27600,28734
Semarang Selatan,30224,31794
Candisari,37317,38125
Tembalang,100313,101508
Pedurungan,97609,99859
Genuk,68709,68647
Gayamsari,35019,35369
Semarang Timur,32280,34195
Semarang Utara,58229,59636
Semarang Tengah,26454,28754
Semarang Barat,73355,75972
Tugu,17054,17038
Ngaliyan,72998,73630
Kota Semarang,845177,863656
