Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2019,2019
Mijen,38099,37938
Gunung Pati,58956,59804
Banyumanik,80590,84363
Gajah Mungkur,30190,30489
Semarang Selatan,33461,37061
Candisari,37578,39279
Tembalang,103695,105809
Pedurungan,106235,108453
Genuk,59589,59421
Gayamsari,41113,41923
Semarang Timur,34936,40826
Semarang Utara,58161,61486
Semarang Tengah,28228,32874
Semarang Barat,80312,84736
Tugu,16633,16700
Ngaliyan,81521,83650
Kota Semarang,889298,924812
