Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2022,2022
Mijen,42908,42910
Gunung Pati,49341,49333
Banyumanik,69717,71602
Gajah Mungkur,27204,28286
Semarang Selatan,29744,31468
Candisari,36709,37752
Tembalang,96306,97174
Pedurungan,95667,97458
Genuk,64514,64182
Gayamsari,34421,34913
Semarang Timur,31729,33698
Semarang Utara,57341,58713
Semarang Tengah,26002,28336
Semarang Barat,72102,74813
Tugu,16575,16504
Ngaliyan,71025,71528
Kota Semarang,821305,838670
