Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2006,2006
Mijen,22110,21642
Gunung Pati,30934,31177
Banyumanik,55949,55789
Gajah Mungkur,30327,30097
Semarang Selatan,43063,42641
Candisari,39844,40707
Tembalang,58620,57192
Pedurungan,76781,77649
Genuk,35987,36217
Gayamsari,32876,33834
Semarang Timur,40912,42749
Semarang Utara,60449,64292
Semarang Tengah,38312,38936
Semarang Barat,76908,78446
Tugu,12861,12688
Ngaliyan,49694,49795
Kota Semarang,705627,713851
