Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2005,2005
Mijen,18380,17992
Gunung Pati,25245,25444
Banyumanik,46746,46613
Gajah Mungkur,25743,25548
Semarang Selatan,35916,35564
Candisari,33933,34668
Tembalang,44239,43190
Pedurungan,57164,57810
Genuk,28019,28197
Gayamsari,24857,25582
Semarang Timur,34695,36252
Semarang Utara,48495,51577
Semarang Tengah,31612,32127
Semarang Barat,64356,65643
Tugu,9955,9821
Ngaliyan,37851,37928
Kota Semarang,567206,573926
