Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2018,2018
Mijen,37519,37345
Gunung Pati,58058,58870
Banyumanik,79363,83045
Gajah Mungkur,29731,30013
Semarang Selatan,32951,36481
Candisari,37006,38665
Tembalang,102115,104156
Pedurungan,104617,106759
Genuk,58681,58493
Gayamsari,40487,41268
Semarang Timur,34404,40189
Semarang Utara,57275,60525
Semarang Tengah,27798,32360
Semarang Barat,79089,83412
Tugu,16380,16439
Ngaliyan,80279,82343
Kota Semarang,875752,910362
