Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2003,2003
Mijen,20512,20173
Gunung Pati,29394,29648
Banyumanik,56079,55448
Gajah Mungkur,29686,29534
Semarang Selatan,42580,42263
Candisari,39502,40627
Tembalang,55986,54829
Pedurungan,71968,73033
Genuk,33733,33709
Gayamsari,32255,33055
Semarang Timur,41067,42830
Semarang Utara,59523,63830
Semarang Tengah,37104,39320
Semarang Barat,75200,75296
Tugu,12326,12342
Ngaliyan,47790,47551
Kota Semarang,684705,693488
