Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2014,2014
Mijen,29957,29468
Gunung Pati,38713,38595
Banyumanik,64591,66813
Gajah Mungkur,31890,31770
Semarang Selatan,39504,40448
Candisari,39551,40095
Tembalang,78378,76319
Pedurungan,88138,90361
Genuk,47861,47357
Gayamsari,37297,36553
Semarang Timur,38378,39641
Semarang Utara,62264,65870
Semarang Tengah,34541,36186
Semarang Barat,78884,79626
Tugu,15761,15831
Ngaliyan,61952,62243
Kota Semarang,787705,797176
