Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2010,2010
Mijen,26385,26326
Gunung Pati,35641,35533
Banyumanik,62567,63342
Gajah Mungkur,31192,31221
Semarang Selatan,42603,42706
Candisari,39764,40460
Tembalang,67274,66160
Pedurungan,84540,87059
Genuk,42893,42984
Gayamsari,37390,37358
Semarang Timur,39471,40962
Semarang Utara,61738,65432
Semarang Tengah,35790,37384
Semarang Barat,79330,80616
Tugu,13961,13885
Ngaliyan,57728,57738
Kota Semarang,758267,769166
