Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2017,2017
Mijen,35271,35618
Gunung Pati,43772,44974
Banyumanik,71137,75595
Gajah Mungkur,34299,35211
Semarang Selatan,41536,43920
Candisari,41854,43798
Tembalang,87580,88152
Pedurungan,97025,102128
Genuk,54909,55646
Gayamsari,40176,40575
Semarang Timur,40327,42541
Semarang Utara,65911,71865
Semarang Tengah,36188,38766
Semarang Barat,83877,87438
Tugu,17234,17789
Ngaliyan,67868,70113
Kota Semarang,858964,894128
