Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2004,2004
Mijen,21070,20605
Gunung Pati,25637,24579
Banyumanik,57101,56550
Gajah Mungkur,30001,29830
Semarang Selatan,42719,42459
Candisari,40876,39979
Tembalang,57306,55994
Pedurungan,73842,74713
Genuk,34610,34713
Gayamsari,32797,33619
Semarang Timur,40934,42825
Semarang Utara,59884,64389
Semarang Tengah,37008,39148
Semarang Barat,75786,77171
Tugu,12658,12531
Ngaliyan,49046,49041
Kota Semarang,691275,698146
