Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2011,2011
Mijen,27617,27258
Gunung Pati,36750,36709
Banyumanik,63298,63989
Gajah Mungkur,31587,31595
Semarang Selatan,41426,41707
Candisari,39657,40293
Tembalang,69826,68536
Pedurungan,86100,88033
Genuk,44638,44329
Gayamsari,36832,36220
Semarang Timur,39139,40476
Semarang Utara,61954,65463
Semarang Tengah,35441,37084
Semarang Barat,79357,80755
Tugu,15055,14752
Ngaliyan,59207,59275
Kota Semarang,767884,776474
