Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2000,2000
Mijen,19459,19118
Gunung Pati,31002,31838
Banyumanik,54105,54800
Gajah Mungkur,29928,30377
Semarang Selatan,35965,40190
Candisari,37680,39370
Tembalang,58014,58075
Pedurungan,72522,94076
Genuk,34482,34001
Gayamsari,30482,30421
Semarang Timur,37840,41311
Semarang Utara,57148,60428
Semarang Tengah,32247,37098
Semarang Barat,70499,74244
Tugu,12685,12781
Ngaliyan,47996,48621
Kota Semarang,662054,686749
