Kecamatan,,
,Jumlah Penduduk Menurut Jenis Kelamin (Jiwa),
,Laki-laki,Perempuan
,2008,2008
Mijen,24804,24119
Gunung Pati,32720,32745
Banyumanik,60616,61239
Gajah Mungkur,30942,30726
Semarang Selatan,42839,42752
Candisari,38380,39557
Tembalang,64127,62881
Pedurungan,81242,82320
Genuk,40219,40381
Gayamsari,35010,35772
Semarang Timur,40047,41700
Semarang Utara,61366,65399
Semarang Tengah,36086,38142
Semarang Barat,79076,80349
Tugu,13449,13527
Ngaliyan,54534,54574
Kota Semarang,735457,746183
