Angka Partisipasi Murni (APM) dan Angka Partisipasi Kasar (APK) Menurut Jenjang Pendidikan di Kota Semarang Tahun 2020-2024,,
Jenjang Pendidikan,2020,
,Angka Partisipasi Murni (APM),Angka Partisipasi Kasar (APK)
SD/MI/Sederajat,"99,60","102,57"
SMP/MTs/Sederajat,"91,77","92,54"
SMA/SMK/MA/Sederajat,"69,95","104,60"
, ,
"Sumber :  BPS, Survei Sosial Ekonomi Nasional (Susenas)",,
