Komoditas inflasi,,,,,,,,,,,,,
,Inflasi menurut Komoditas (Persen),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Umum,"-0,69","-0,64","1,42","1,53","-0,42","0,22","0,23","-0,05","0,18","0,39","0,22","0,42","2,84"
"I. Makanan, minuman dan tembakau","1,93","-0,49","1,38","-0,09","-1,65","0,9","0,05","-0,69","0,37","0,5","0,62","1,12","3,98"
II. Pakaian dan Alas kaki,"0,19","0,03","0,5",0,"0,08","0,06","0,18","-0,01","0,01","0,01","0,03","0,03","1,11"
"III. Perumahan, Air, Listrik dan Bahan Bakar Rumah Tangga","-10,17","-6,17","9,41","9,07","-0,01","-0,04","0,02","0,11","0,12","0,06","0,11","0,17","1,12"
"IV. Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga","0,08","0,29","0,08","-0,01",0,"0,11","-0,04","-0,19",0,"0,11","-0,35","0,06","0,13"
V. Kesehatan,"0,12","0,25","0,09",0,"0,01","0,14","0,02","0,06","0,14","0,15","0,07","0,01","1,04"
VI. Transportasi,"-0,12","0,51","-0,35","1,41","-0,33","-0,29","0,37","0,1","-0,36","0,03","0,39","-0,18","1,17"
"VII. Informasi, Komunikasi, dan Jasa Keuangan",0,0,0,"-0,42","-0,02",0,0,"-0,21","0,03","-0,02",0,"0,01","-0,63"
"VIII. Rekreasi, Olahraga, dan Budaya","0,45","0,17","0,07","0,22","0,01",0,"-0,02","0,12","0,02",0,"-0,24","0,04","0,83"
IX. Pendidikan,0,0,0,0,0,0,"1,88","1,26",0,0,0,0,"3,16"
X. Penyediaan Makanan dan Minuman/Restoran,"0,73","0,08","0,18","0,94","0,23","0,08","0,05","0,07",0,"0,05","0,04","0,07","2,55"
XI. Perawatan Pribadi dan Jasa Lainnya,"0,77","1,22","0,98","3,22","0,04","0,49","0,06","0,18","1,67","3,46","0,33","2,05","15,41"
