Komoditas inflasi,,,,,,,,,,,,,
,Inflasi menurut Komoditas (Persen),,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Umum,"0,3","0,21","0,2","0,27","0,22","0,02","0,23","0,02","0,42","0,17","0,52","0,22","2,84"
"I. Makanan, minuman dan tembakau","1,29","0,5","0,15","0,71","0,6","0,06","0,3","-0,11","0,73","0,4","2,14","0,53","7,52"
II. Pakaian dan Alas kaki,"-0,04","0,01","0,25","0,24","0,11","0,27","0,09","0,01","0,02","0,09","0,06","0,22","1,33"
"III. Perumahan, Air, Listrik dan Bahan Bakar Rumah Tangga","0,1","0,01","0,03","0,02","0,01",0,"-0,04","0,01","0,01","-0,03","-0,02","-0,01","0,09"
"IV. Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga","0,06","0,14",0,"-0,02","0,14","0,26","0,18","0,32","0,05","0,08","0,03","0,03","1,27"
V. Kesehatan,"0,54","0,07","0,32","0,64","0,1","0,47","0,12","0,01","0,2","0,04","0,02","0,04","2,58"
VI. Transportasi,"-0,87","0,38","0,86","0,35","0,48","-0,79","0,67","-0,58","1,23","0,3","-0,15","0,38","2,26"
"VII. Informasi, Komunikasi, dan Jasa Keuangan","-0,02","0,11","-0,11","-0,34","-0,18","0,01","-0,34",0,"0,28",0,0,"0,09","-0,5"
"VIII. Rekreasi, Olahraga, dan Budaya","1,03","0,17","0,23","0,11",0,"-0,02","-0,03","0,3",0,"0,09",0,"0,04","1,93"
IX. Pendidikan,0,0,0,0,0,0,"1,12","0,72","0,14",0,0,0,2
X. Penyediaan Makanan dan Minuman/Restoran,"0,09","0,05",0,"0,04","0,05","0,84","0,04","0,64","0,04",0,0,"0,04","1,85"
XI. Perawatan Pribadi dan Jasa Lainnya,"0,81","0,08","0,45","0,39","-0,02","-0,09","-0,02","0,02","0,46","0,32","0,24","0,45","3,13"
