Komoditas inflasi,,,,,,,,,,,,,
,Inflasi menurut Komoditas (Persen),,,,,,,,,,,,
,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Umum,"0,31","-0,08","0,66","0,86","0,53","0,93","0,59","-0,44","1,13","-0,18","0,13","0,45","4,99"
"I. Makanan, minuman dan tembakau","0,82","-1,31","1,46","1,89","1,02","2,47","1,58","-2,11","-0,19","-1,54","0,3","1,5","5,91"
II. Pakaian dan Alas kaki,"0,32","0,26","0,25","0,78","0,03","0,68","0,24","0,66","0,42","0,27","0,42","0,08","4,51"
"III. Perumahan, Air, Listrik dan Bahan Bakar Rumah Tangga","0,16","0,01","0,07","0,06","0,03","0,06","0,26","0,38","0,37","0,18","-0,2","-0,05","1,33"
"IV. Perlengkapan, Peralatan dan Pemeliharaan Rutin Rumah Tangga","0,85","0,64","0,72","0,33","0,38","0,69","0,38","-0,09","0,15","0,15","0,03","0,43","4,75"
V. Kesehatan,"0,01","0,27","-0,07","0,03","0,02","0,08","0,06","0,22","0,15","0,19","0,16","-0,03","1,08"
VI. Transportasi,"-0,07","0,58","0,86","2,06","1,61","1,33","0,87","-0,91","7,92","0,48","0,33","0,02","15,88"
"VII. Informasi, Komunikasi, dan Jasa Keuangan","-0,15","0,05","-0,06","-0,03","0,14","-0,55","-0,12","-0,32","-0,05","-0,22","-0,09","-0,03","-1,43"
"VIII. Rekreasi, Olahraga, dan Budaya","0,14","0,34","0,08","0,1","0,63","0,1","0,43","0,24","-1,58","2,48","0,98","0,06","4,03"
IX. Pendidikan,0,0,0,0,0,0,"-1,21","0,12","0,21",0,0,0,"-0,89"
X. Penyediaan Makanan dan Minuman/Restoran,"0,03","0,22","0,52","0,27","0,21","0,46","0,48","0,74","0,38","0,04","0,05","0,22","3,66"
XI. Perawatan Pribadi dan Jasa Lainnya,"0,45","1,19","1,51","0,81","0,05","0,94","0,28","0,67","0,07","0,11","0,28","0,88","7,49"
